 ,Mean
1,74.976
2,86.889
3,106.568
4,77.730
5,116.679
6,88.500
7,100.833
8,130.125
9,82.875
10,88.137
11,95.027
12,90.306
13,72.529
14,88.306
15,106.892
16,74.611
17,109.107
18,66.932
19,95.292
20,80.700
21,130.765
22,109.481
23,113.214
24,148.617
25,95.382
26,96.639
27,118.750
28,121.562
29,178.108
30,96.000
31,101.318
32,114.389
33,138.281
34,104.806
35,87.706
36,134.056
37,151.619
38,94.524
39,159.324
40,83.588
41,91.568
42,120.324
43,83.968
44,86.556
45,109.115
46,92.222
47,82.192
48,78.162
49,75.323
50,70.406
