 ,Mean
1,559.062
2,361.032
3,159.810
4,237.097
5,228.269
6,133.458
7,149.450
8,244.484
9,311.500
10,267.806
11,310.417
12,147.346
13,274.162
14,309.919
15,457.905
16,523.650
17,242.649
18,170.571
19,213.905
20,274.731
21,350.806
22,327.500
23,252.143
24,252.038
25,281.038
26,239.528
27,161.300
28,249.095
29,177.194
30,244.531
31,143.375
32,223.381
33,457.950
34,123.441
35,256.417
36,109.650
37,369.833
38,167.323
39,159.350
40,156.917
41,290.500
42,241.333
43,219.094
44,562.125
45,145.032
46,141.562
47,323.000
48,211.469
49,166.971
50,154.000
51,257.250
52,148.839
53,120.810
54,254.452
55,110.231
56,174.588
57,166.029
58,158.500
59,406.125
60,145.710
61,122.100
62,200.154
63,253.333
64,555.216
65,324.619
66,268.423
67,331.269
68,198.214
69,151.062
70,799.654
71,199.562
72,191.885
73,184.423
74,362.500
75,287.950
76,258.406
77,134.846
78,325.375
79,178.667
80,115.885
81,621.125
82,118.600
83,145.189
84,435.462
85,127.188
86,332.824
87,237.062
88,299.594
89,571.429
90,192.850
91,367.952
92,162.750
93,283.387
94,124.889
95,149.647
96,162.885
97,362.250
98,153.692
99,151.774
100,347.625
101,154.969
102,319.941
103,365.350
104,142.750
105,162.200
106,193.607
107,366.000
108,159.938
109,258.417
110,168.077
111,324.562
112,181.571
113,509.905
114,161.516
115,315.750
116,142.050
117,265.000
118,137.750
119,130.156
120,428.308
121,166.938
122,174.650
123,182.125
124,157.885
125,191.615
126,287.625
127,129.231
128,252.917
129,243.150
130,369.385
131,303.250
132,162.808
133,245.429
134,285.938
135,119.438
136,122.538
137,105.154
138,133.938
139,574.048
140,129.808
141,542.750
142,170.278
143,150.804
144,252.118
145,192.176
146,1030.484
147,130.238
148,110.038
149,178.176
150,1192.938
