 ,Mean(before_f1_bg)
1,62.869
2,62.285
3,66.009
4,62.984
5,67.988
6,62.728
7,67.497
8,60.692
9,59.710
10,60.723
11,58.594
12,61.064
13,61.028
14,60.783
15,65.328
16,56.353
17,66.161
18,59.291
19,63.792
20,58.379
21,59.112
22,58.393
23,61.452
24,56.512
25,59.410
26,56.575
27,62.116
28,61.710
29,58.982
30,63.715
31,61.569
32,60.079
33,61.967
34,64.480
35,64.608
36,61.391
37,58.971
38,60.446
39,65.093
40,61.622
41,59.646
42,55.876
43,57.872
44,67.180
45,60.383
46,65.353
47,62.069
48,64.023
49,55.666
50,57.542
51,58.973
52,59.677
53,60.492
54,61.704
55,60.045
56,64.386
57,62.651
58,60.451
59,59.662
60,55.730
61,58.296
62,58.403
63,61.362
64,57.542
65,60.061
66,59.151
67,63.894
68,57.233
69,55.675
70,61.535
71,59.592
72,62.093
73,56.084
74,56.358
75,63.935
76,60.944
77,67.230
78,59.994
79,58.393
80,58.798
81,55.315
82,58.352
83,57.287
84,60.558
85,61.343
86,57.205
87,60.278
88,57.377
89,61.400
90,62.263
91,56.253
92,59.359
93,59.343
94,61.288
95,61.972
96,62.548
97,57.319
98,61.261
99,61.600
100,61.544
101,65.253
102,58.638
103,59.910
104,57.943
105,60.453
106,60.602
107,61.038
108,56.896
109,59.181
110,56.828
111,57.214
112,59.794
113,59.849
114,57.973
115,58.825
116,63.283
117,57.050
118,61.390
119,59.717
120,60.987
121,56.084
122,58.797
123,57.354
124,61.275
125,62.883
126,59.285
127,63.684
128,62.600
129,62.570
130,59.086
131,63.171
132,61.537
133,59.502
134,60.791
135,57.104
136,60.580
137,56.441
138,56.200
139,59.384
140,59.810
141,59.946
142,59.669
143,59.311
144,59.847
145,61.569
146,60.931
147,60.897
148,62.590
149,63.754
150,61.658
151,62.801
152,63.666
153,63.574
154,67.183
155,63.191
156,65.031
157,68.193
158,60.337
159,68.775
160,64.413
161,61.425
162,62.267
163,60.706
164,62.241
165,63.443
166,63.219
167,57.557
168,60.549
169,60.751
170,57.725
171,54.470
172,61.328
173,60.183
174,63.184
175,62.114
176,62.779
177,60.983
178,54.394
179,59.898
180,55.991
181,61.045
182,60.699
183,57.316
184,60.980
185,53.269
186,58.625
187,57.461
188,59.321
189,60.711
190,61.884
191,58.821
192,61.656
193,60.373
194,56.651
195,58.076
196,57.032
197,58.862
198,56.923
199,59.548
200,59.220
201,54.340
202,55.682
203,56.882
204,53.520
205,58.619
206,57.723
207,60.670
208,56.830
209,61.944
210,57.965
211,56.239
212,56.297
213,57.289
214,59.103
215,60.375
216,59.500
217,64.147
218,63.084
219,63.413
220,61.353
221,59.270
222,55.515
223,60.384
224,58.158
225,61.391
226,61.775
227,58.799
228,61.175
229,58.193
230,59.143
231,58.271
232,57.541
233,61.958
234,61.392
235,59.196
236,59.757
237,62.814
238,59.782
239,62.682
240,60.021
241,59.583
242,66.064
243,62.026
244,60.874
245,59.011
246,56.929
247,63.727
248,54.775
249,65.877
250,56.946
251,60.656
252,58.782
253,58.229
254,61.243
255,59.814
256,60.962
257,60.354
258,63.692
259,59.017
260,60.708
261,58.708
262,58.500
263,55.877
264,61.078
265,56.690
266,58.141
267,60.850
268,56.638
269,61.560
270,59.735
271,64.129
272,58.895
273,60.280
274,61.017
275,64.732
276,61.273
277,58.842
278,59.539
279,57.906
280,58.360
281,61.915
282,58.001
283,62.964
284,60.903
285,60.191
286,59.174
287,60.353
288,60.619
289,61.035
290,59.877
291,56.911
292,58.338
293,60.248
294,61.411
295,63.085
296,54.943
297,59.862
298,57.666
299,55.852
300,59.171
301,60.162
302,60.780
303,53.714
304,54.757
305,57.643
306,54.086
307,55.580
308,61.276
309,58.795
310,57.030
311,57.311
312,59.316
313,61.625
314,64.717
315,62.912
316,59.658
317,59.831
318,65.146
319,58.019
320,59.625
321,57.952
322,60.874
323,61.143
324,60.477
325,61.335
326,61.730
327,56.521
328,63.017
329,58.419
330,61.546
331,58.395
332,59.646
333,59.898
334,58.263
335,59.715
336,57.080
337,61.853
338,61.403
339,58.128
340,62.558
341,57.689
342,55.479
343,59.702
344,58.059
345,59.372
346,59.445
347,56.076
348,60.132
349,57.334
350,59.737
351,57.826
352,57.217
353,56.931
354,60.290
355,65.539
356,63.316
357,60.041
